,Time,energy_acc_xyz,orientation_acc_xyz,energy_orientation,energy_acc_xxyyzz,energy_ang_xyz,energy_ang_xyz_regularized,feedingClass,drinkingClass,activity,nonfeedingClass,unixtime,ges
21154,2016-08-23 19:27:45.810000-05:00,0.004151959769879077,12.902908056929258,12.907060016699138,78.80101778616584,0.6260045168852839,4.830281766090153e-06,1,0,8,0,1471998465810,1
21155,2016-08-23 19:27:45.875000-05:00,0.009475037545282556,12.655718943192532,12.665193980737815,80.64240117431609,1.2913299195005141,9.963965428244704e-06,1,0,8,0,1471998465875,1
21156,2016-08-23 19:27:45.952000-05:00,0.03676989991707677,11.098198682510443,11.134968582427524,60.946269025517715,2.1979227915051607,1.695928079865093e-05,1,0,8,0,1471998465952,1
21157,2016-08-23 19:27:46.027000-05:00,0.024734076257504064,8.867813251476898,8.892547327734402,35.834892268165795,9.205356205973779,7.102898307078531e-05,1,0,8,0,1471998466027,1
21158,2016-08-23 19:27:46.076000-05:00,0.003275881518089478,7.3911632188132526,7.3944391003313426,23.82259690233865,36.610324434175375,0.00028248707125135323,1,0,8,0,1471998466076,1
21159,2016-08-23 19:27:46.135000-05:00,0.09732055304702177,7.2249719579184735,7.3222925109654975,24.032479997239484,93.92282322403112,0.0007247131421607342,1,0,8,0,1471998466135,1
21160,2016-08-23 19:27:46.202000-05:00,0.24660360945413626,8.766411902368155,9.013015511822292,38.75426064089589,159.29631366397595,0.0012291382227158645,1,0,8,0,1471998466202,1
21161,2016-08-23 19:27:46.279000-05:00,0.2537481609721771,12.536155703782153,12.789903864754336,62.926546657306034,172.02160168881755,0.001327327173524827,1,0,8,0,1471998466279,1
21162,2016-08-23 19:27:46.326000-05:00,0.2491224774132287,14.852171866118484,15.101294343531716,87.34258266746843,115.78496165862713,0.0008934024819338512,1,0,8,0,1471998466326,1
21163,2016-08-23 19:27:46.402000-05:00,0.05393424093685245,13.922365830607223,13.976300071544076,107.05110613306988,58.14514629425629,0.00044865082017173075,1,0,8,0,1471998466402,1
21164,2016-08-23 19:27:46.479000-05:00,0.16945820472259027,9.07128026782134,9.240738472543931,56.69922756716362,33.54691184935344,0.0002588496284672333,1,0,8,0,1471998466479,1
21165,2016-08-23 19:27:46.529000-05:00,0.10412763790356737,4.967096112226956,5.071223750130522,21.881886176748534,35.86496246701893,0.00027673582150477573,1,0,8,0,1471998466529,1
21166,2016-08-23 19:27:46.602000-05:00,0.11938457558919628,2.7873369998116457,2.9067215754008418,7.582314891496817,38.12290620688234,0.0002941582269049564,1,0,8,0,1471998466602,1
21167,2016-08-23 19:27:46.653000-05:00,0.07087341159170174,1.3793207567330148,1.4501941683247166,1.1157400613347466,30.591996831313228,0.00023604935826630576,1,0,8,0,1471998466653,1
21168,2016-08-23 19:27:46.709000-05:00,0.04431166780409162,1.5695025396815538,1.613814207485646,1.2815124463549248,17.59949881594831,0.00013579860197490977,1,0,8,0,1471998466709,1
21169,2016-08-23 19:27:46.788000-05:00,0.033578080157360406,2.8226825435546226,2.8562606237119827,4.723623672887896,9.35710755685832,7.219990398810433e-05,1,0,8,0,1471998466788,1
21170,2016-08-23 19:27:46.852000-05:00,0.03311058095138935,4.148798114246203,4.181908695197592,13.20274570257893,5.578681822691308,4.3045384434346524e-05,1,0,8,0,1471998466852,1
21171,2016-08-23 19:27:46.902000-05:00,0.011301366264005866,4.666956739053116,4.678258105317123,19.368267985005218,2.8099853765355487,2.1681985930058245e-05,1,0,8,0,1471998466902,1
21172,2016-08-23 19:27:46.975000-05:00,0.010349590548479684,4.428744286306086,4.4390938768545665,18.084896459064087,1.805714336490749,1.393298099144097e-05,0,0,8,0,1471998466975,0
21173,2016-08-23 19:27:47.051000-05:00,0.0052632923620987105,4.587526323504694,4.592789615866792,19.610780644672502,2.195681148086255,1.694198416733221e-05,0,0,8,0,1471998467051,0
21174,2016-08-23 19:27:47.103000-05:00,0.0067038482862261505,5.313416301385524,5.320120149671749,26.620381489349136,2.537948078230301,1.95829327023943e-05,0,0,8,0,1471998467103,0
21175,2016-08-23 19:27:47.175000-05:00,0.004696275370785436,5.936744148249779,5.9414404236205645,33.34072564635193,3.770484164938774,2.9093242013416466e-05,0,0,8,0,1471998467175,0
21176,2016-08-23 19:27:47.252000-05:00,0.00985279886868717,6.380251448999116,6.390104247867803,38.064013255485634,5.654000056233291,4.3626543643775395e-05,0,0,8,0,1471998467252,0
21177,2016-08-23 19:27:47.301000-05:00,0.020259124589124308,7.280114794707979,7.300373919297104,46.41627284100375,6.2132320219449175,4.794160510759968e-05,0,0,8,0,1471998467301,0
21178,2016-08-23 19:27:47.375000-05:00,0.008211646966514738,8.415807830744896,8.424019477711411,56.35152872298937,4.451608666250789,3.434883230131781e-05,0,0,8,0,1471998467375,0
21179,2016-08-23 19:27:47.452000-05:00,0.004926334628972755,9.223568217457624,9.228494552086598,62.7783387571784,1.629515969122498,1.2573425687673594e-05,0,0,8,0,1471998467452,0
21180,2016-08-23 19:27:47.491000-05:00,0.008620034144044147,10.123673548610672,10.132293582754716,70.44457957791616,0.8616200240431404,6.6483026546538595e-06,0,0,8,0,1471998467491,0
21181,2016-08-23 19:27:47.552000-05:00,0.027658489956105217,9.84777944312708,9.875437933083184,69.18587572403767,4.541984730802542,3.5046178478414674e-05,0,0,8,0,1471998467552,0
21182,2016-08-23 19:27:47.626000-05:00,0.033668610557289216,8.02431840365515,8.057987014212438,53.234451600482274,8.42186146392293,6.498349895002261e-05,0,0,8,0,1471998467626,0
21183,2016-08-23 19:27:47.701000-05:00,0.01738169354950541,6.5641157259288665,6.5814974194783735,39.411626501751044,8.736186029088548,6.740884281704123e-05,0,0,8,0,1471998467701,0
21184,2016-08-23 19:27:47.751000-05:00,0.02060627203627416,5.379338055000996,5.39994432703727,27.962717291287063,8.07500768487679,6.230715806232088e-05,0,0,8,0,1471998467751,0
21185,2016-08-23 19:27:47.827000-05:00,0.007975346673796627,4.416028482873378,4.424003829547174,18.895311085419028,7.639605530965659,5.8947573541401685e-05,0,0,8,0,1471998467827,0
